email_limpo,telefone_limpo,cidade_uf,origem_reserva,grupo_hospedagem,chave_contato,score_completude
aline156@outlook.com,5562979260698,Rio de Janeiro/RJ,CHANNELMANAGEROMNIBEES,,aline156@outlook.com,47
aline160@hotmail.com,5541952712885,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,aline160@hotmail.com,47
aline160@uol.com.br,5551934173114,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline160@uol.com.br,45
aline163@uol.com.br,5585924805182,Campinas/SP,INTERNET,,aline163@uol.com.br,45
aline165@hotmail.com,5551999761927,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline165@hotmail.com,45
aline16@yahoo.com.br,5541999335493,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline16@yahoo.com.br,47
aline170@hotmail.com,5585914628182,Natal/RN,PROPRIETARIO,,aline170@hotmail.com,46
aline172@gmail.com,5531966414137,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline172@gmail.com,46
aline175@hotmail.com,5531927620156,Manaus/AM,CHANNELMANAGEROMNIBEES,,aline175@hotmail.com,46
aline181@outlook.com,5561920954347,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline181@outlook.com,45
aline186@uol.com.br,5561938287476,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline186@uol.com.br,46
aline191@uol.com.br,5585996437875,SÃ£o Paulo/SP,DIRETO,,aline191@uol.com.br,47
aline196@outlook.com,5521998623983,Fortaleza/CE,CHANNELMANAGEROMNIBEES,,aline196@outlook.com,46
aline202@outlook.com,5581911707766,Manaus/AM,CHANNELMANAGEROMNIBEES,,aline202@outlook.com,45
aline204@uol.com.br,5531931556231,MaceiÃ³/AL,CHANNELMANAGEROMNIBEES,,aline204@uol.com.br,47
aline207@hotmail.com,5561981044067,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline207@hotmail.com,46
aline209@gmail.com,5585917258923,Recife/PE,PROPRIETARIO,,aline209@gmail.com,46
aline209@yahoo.com.br,5521939289411,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline209@yahoo.com.br,47
aline211@hotmail.com,5561928558592,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline211@hotmail.com,47
aline213@gmail.com,5521932889705,Manaus/AM,DIRETO,,aline213@gmail.com,45
aline214@uol.com.br,5551953617279,Natal/RN,CHANNELMANAGEROMNIBEES,,aline214@uol.com.br,46
aline214@yahoo.com.br,5541926089279,Belo Horizonte/MG,DIRETO,,aline214@yahoo.com.br,46
aline219@hotmail.com,5571929771015,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline219@hotmail.com,48
aline220@yahoo.com.br,5511927555845,Recife/PE,CHANNELMANAGEROMNIBEES,,aline220@yahoo.com.br,47
aline225@gmail.com,5541926338852,MaceiÃ³/AL,PROPRIETARIO,,aline225@gmail.com,47
aline225@hotmail.com,5581986525917,BelÃ©m/PA,PROPRIETARIO,,aline225@hotmail.com,46
aline228@yahoo.com.br,5571995745216,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline228@yahoo.com.br,46
aline231@yahoo.com.br,5511912286932,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline231@yahoo.com.br,46
aline232@gmail.com,5511937889926,Campinas/SP,PARTICULAR,,aline232@gmail.com,46
aline234@outlook.com,5562921260781,Natal/RN,CHANNELMANAGEROMNIBEES,,aline234@outlook.com,46
aline235@gmail.com,5585953139140,Fortaleza/CE,CHANNELMANAGEROMNIBEES,,aline235@gmail.com,47
aline246@gmail.com,5521923205594,Natal/RN,CHANNELMANAGEROMNIBEES,,aline246@gmail.com,45
aline247@outlook.com,5581961355679,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline247@outlook.com,45
aline247@yahoo.com.br,5551921256967,Recife/PE,PARTICULAR,,aline247@yahoo.com.br,46
aline248@gmail.com,5531992507730,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline248@gmail.com,48
aline24@yahoo.com.br,5571925381628,GoiÃ¢nia/GO,CHANNELMANAGEROMNIBEES,,aline24@yahoo.com.br,47
aline253@uol.com.br,5571912668627,Manaus/AM,B2B,,aline253@uol.com.br,43
aline256@outlook.com,5581982011611,Natal/RN,CHANNELMANAGEROMNIBEES,,aline256@outlook.com,46
aline258@uol.com.br,5521987349484,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline258@uol.com.br,46
aline25@outlook.com,5541917184582,Natal/RN,CHANNELMANAGEROMNIBEES,,aline25@outlook.com,47
aline260@outlook.com,5562966351017,Salvador/BA,PROPRIETARIO,,aline260@outlook.com,47
aline262@gmail.com,5541934650635,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline262@gmail.com,45
aline262@hotmail.com,5581971772191,Fortaleza/CE,CHANNELMANAGEROMNIBEES,,aline262@hotmail.com,46
aline262@yahoo.com.br,5521929280371,MaceiÃ³/AL,CHANNELMANAGEROMNIBEES,,aline262@yahoo.com.br,47
aline266@outlook.com,5541988283490,Rio de Janeiro/RJ,PARTICULAR,,aline266@outlook.com,46
aline268@gmail.com,5561979309141,GoiÃ¢nia/GO,CHANNELMANAGEROMNIBEES,,aline268@gmail.com,46
aline26@uol.com.br,5531987546010,Natal/RN,DIRETO,,aline26@uol.com.br,44
aline271@gmail.com,5521965226092,MaceiÃ³/AL,DIRETO,,aline271@gmail.com,46
aline275@hotmail.com,5541981957422,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline275@hotmail.com,46
aline276@hotmail.com,5585977960428,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline276@hotmail.com,44
aline281@hotmail.com,5521938422526,Manaus/AM,CHANNELMANAGEROMNIBEES,,aline281@hotmail.com,48
aline282@yahoo.com.br,5585998468549,GoiÃ¢nia/GO,PROPRIETARIO,,aline282@yahoo.com.br,46
aline289@yahoo.com.br,5531917424527,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,aline289@yahoo.com.br,45
aline296@uol.com.br,5585988735449,BrasÃ­lia/DF,CHANNELMANAGEROMNIBEES,,aline296@uol.com.br,46
aline301@gmail.com,5585916725487,SÃ£o LuÃ­s/MA,CHANNELMANAGEROMNIBEES,,aline301@gmail.com,44
aline302@yahoo.com.br,5585953507493,Campinas/SP,DIRETO,,aline302@yahoo.com.br,48
aline303@yahoo.com.br,5511943560270,Campinas/SP,PARTICULAR,,aline303@yahoo.com.br,47
aline304@uol.com.br,5571922006819,Recife/PE,CHANNELMANAGEROMNIBEES,,aline304@uol.com.br,45
aline309@outlook.com,5561916126442,BrasÃ­lia/DF,PROPRIETARIO,,aline309@outlook.com,46
aline30@uol.com.br,5561964082675,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline30@uol.com.br,46
aline310@hotmail.com,5571923452854,BelÃ©m/PA,INTERNET,,aline310@hotmail.com,45
aline310@outlook.com,5562935980228,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline310@outlook.com,46
aline310@uol.com.br,5531965353782,Recife/PE,CHANNELMANAGEROMNIBEES,,aline310@uol.com.br,45
aline311@gmail.com,5511938707763,Salvador/BA,CHANNELMANAGEROMNIBEES,,aline311@gmail.com,47
aline313@outlook.com,5531914900652,BelÃ©m/PA,CHANNELMANAGEROMNIBEES,,aline313@outlook.com,46
aline314@outlook.com,5511928904260,Campinas/SP,DIRETO,,aline314@outlook.com,45
aline319@yahoo.com.br,5561948008331,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline319@yahoo.com.br,46
aline321@uol.com.br,5585976816457,GoiÃ¢nia/GO,CHANNELMANAGEROMNIBEES,,aline321@uol.com.br,46
aline324@uol.com.br,5521999451771,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline324@uol.com.br,46
aline327@gmail.com,5562922957102,Recife/PE,CHANNELMANAGEROMNIBEES,,aline327@gmail.com,46
aline32@outlook.com,5581973910380,Salvador/BA,BALCAO,,aline32@outlook.com,44
aline333@yahoo.com.br,5585959474588,Recife/PE,DIRETO,,aline333@yahoo.com.br,45
aline335@gmail.com,5521958795327,Salvador/BA,CHANNELMANAGEROMNIBEES,,aline335@gmail.com,46
aline340@uol.com.br,5541966330124,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline340@uol.com.br,47
aline341@uol.com.br,5562956022234,SÃ£o LuÃ­s/MA,DIRETO,,aline341@uol.com.br,45
aline343@gmail.com,5571981927076,GoiÃ¢nia/GO,CHANNELMANAGEROMNIBEES,,aline343@gmail.com,46
aline344@outlook.com,5581952118056,Recife/PE,INTERNET,,aline344@outlook.com,44
aline348@hotmail.com,5581963218259,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline348@hotmail.com,47
aline348@uol.com.br,5541911969136,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline348@uol.com.br,46
aline350@hotmail.com,5581956283837,Natal/RN,DIRETO,,aline350@hotmail.com,45
aline352@gmail.com,5581939633281,SÃ£o Paulo/SP,DIRETO,,aline352@gmail.com,45
aline354@yahoo.com.br,5531975365186,Rio de Janeiro/RJ,CHANNELMANAGEROMNIBEES,,aline354@yahoo.com.br,45
aline359@hotmail.com,5511994747672,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline359@hotmail.com,46
aline361@outlook.com,5585914825993,GoiÃ¢nia/GO,DIRETO,,aline361@outlook.com,46
aline362@yahoo.com.br,5562928539179,Recife/PE,CHANNELMANAGEROMNIBEES,,aline362@yahoo.com.br,45
aline36@uol.com.br,5551918548235,Natal/RN,CHANNELMANAGEROMNIBEES,,aline36@uol.com.br,45
aline372@hotmail.com,5585986393964,Recife/PE,CHANNELMANAGEROMNIBEES,,aline372@hotmail.com,45
aline372@yahoo.com.br,5571990279055,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,aline372@yahoo.com.br,46
aline373@gmail.com,5561963596814,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,aline373@gmail.com,46
aline37@hotmail.com,5551966405058,MaceiÃ³/AL,DIRETO,,aline37@hotmail.com,46
aline380@outlook.com,5531944070539,BelÃ©m/PA,CHANNELMANAGEROMNIBEES,,aline380@outlook.com,46
aline381@gmail.com,5541934877179,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,aline381@gmail.com,46
aline381@hotmail.com,5571970741856,BelÃ©m/PA,CHANNELMANAGEROMNIBEES,,aline381@hotmail.com,45
aline384@uol.com.br,5581955044345,GoiÃ¢nia/GO,CHANNELMANAGEROMNIBEES,,aline384@uol.com.br,46
aline386@gmail.com,5541958855755,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline386@gmail.com,47
aline387@outlook.com,5585990877151,Rio de Janeiro/RJ,CHANNELMANAGEROMNIBEES,,aline387@outlook.com,47
aline388@uol.com.br,5561964416938,MaceiÃ³/AL,CHANNELMANAGEROMNIBEES,,aline388@uol.com.br,46
aline390@hotmail.com,5541917527911,SÃ£o Paulo/SP,PROPRIETARIO,,aline390@hotmail.com,45
aline394@uol.com.br,5521917899290,Natal/RN,CHANNELMANAGEROMNIBEES,,aline394@uol.com.br,46
aline398@yahoo.com.br,5581983515697,Manaus/AM,CHANNELMANAGEROMNIBEES,,aline398@yahoo.com.br,48
aline39@hotmail.com,5521990183807,Natal/RN,DIRETO,,aline39@hotmail.com,44
aline401@hotmail.com,5581930786490,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline401@hotmail.com,47
aline404@uol.com.br,5541943158056,Rio de Janeiro/RJ,CHANNELMANAGEROMNIBEES,,aline404@uol.com.br,45
aline406@outlook.com,5561949656549,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline406@outlook.com,44
aline411@hotmail.com,5521977381168,Manaus/AM,CHANNELMANAGEROMNIBEES,,aline411@hotmail.com,45
aline412@gmail.com,5571914414428,Fortaleza/CE,CHANNELMANAGEROMNIBEES,,aline412@gmail.com,46
aline412@hotmail.com,5511988084490,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,aline412@hotmail.com,47
aline413@uol.com.br,5511990039198,SÃ£o LuÃ­s/MA,CHANNELMANAGEROMNIBEES,,aline413@uol.com.br,47
aline414@uol.com.br,5571988617277,SÃ£o LuÃ­s/MA,CHANNELMANAGEROMNIBEES,,aline414@uol.com.br,45
aline419@uol.com.br,5521955432113,Fortaleza/CE,DIRETO,,aline419@uol.com.br,46
aline424@hotmail.com,5571948022847,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline424@hotmail.com,46
aline432@hotmail.com,5521991715026,Natal/RN,CHANNELMANAGEROMNIBEES,,aline432@hotmail.com,47
aline436@uol.com.br,5521964814855,Salvador/BA,CHANNELMANAGEROMNIBEES,,aline436@uol.com.br,46
aline439@uol.com.br,5581986939192,Manaus/AM,CHANNELMANAGEROMNIBEES,,aline439@uol.com.br,46
aline440@hotmail.com,5561997951218,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline440@hotmail.com,46
aline441@outlook.com,5571976487037,MaceiÃ³/AL,CHANNELMANAGEROMNIBEES,,aline441@outlook.com,46
aline443@outlook.com,5531971196011,Natal/RN,CHANNELMANAGEROMNIBEES,,aline443@outlook.com,47
aline446@yahoo.com.br,5562914955508,Salvador/BA,PARTICULAR,,aline446@yahoo.com.br,44
aline450@outlook.com,5561963320283,GoiÃ¢nia/GO,CHANNELMANAGEROMNIBEES,,aline450@outlook.com,45
aline453@outlook.com,5581967729682,BrasÃ­lia/DF,DIRETO,,aline453@outlook.com,44
aline455@gmail.com,5541977440454,SÃ£o Paulo/SP,DIRETO,,aline455@gmail.com,45
aline459@outlook.com,5521934800238,BelÃ©m/PA,CHANNELMANAGEROMNIBEES,,aline459@outlook.com,47
aline465@outlook.com,5585997703892,BelÃ©m/PA,CHANNELMANAGEROMNIBEES,,aline465@outlook.com,47
aline469@hotmail.com,5521994601038,Porto Alegre/RS,PROPRIETARIO,,aline469@hotmail.com,47
aline471@yahoo.com.br,5585961990584,SÃ£o LuÃ­s/MA,CHANNELMANAGEROMNIBEES,,aline471@yahoo.com.br,46
aline472@yahoo.com.br,5541967625613,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline472@yahoo.com.br,47
aline473@yahoo.com.br,5511978824488,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline473@yahoo.com.br,47
aline476@hotmail.com,5511922882578,GoiÃ¢nia/GO,PROPRIETARIO,,aline476@hotmail.com,47
aline476@outlook.com,5561977643209,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline476@outlook.com,47
aline477@gmail.com,5581918410080,Recife/PE,CHANNELMANAGEROMNIBEES,,aline477@gmail.com,47
aline482@hotmail.com,5511935850799,SÃ£o LuÃ­s/MA,DIRETO,,aline482@hotmail.com,45
aline484@yahoo.com.br,5551953348226,SÃ£o LuÃ­s/MA,CHANNELMANAGEROMNIBEES,,aline484@yahoo.com.br,46
aline486@uol.com.br,5571940901931,Porto Alegre/RS,DIRETO,,aline486@uol.com.br,45
aline493@uol.com.br,5551925776284,MaceiÃ³/AL,CHANNELMANAGEROMNIBEES,,aline493@uol.com.br,46
aline496@yahoo.com.br,5511930332500,BrasÃ­lia/DF,DIRETO,,aline496@yahoo.com.br,44
aline497@gmail.com,5531920499477,Porto Alegre/RS,B2B,,aline497@gmail.com,47
aline497@hotmail.com,5531990201799,Manaus/AM,PROPRIETARIO,,aline497@hotmail.com,46
aline498@gmail.com,5551979650673,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline498@gmail.com,47
aline49@uol.com.br,5561991560711,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline49@uol.com.br,46
aline501@hotmail.com,5511953692382,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline501@hotmail.com,46
aline502@yahoo.com.br,5561926088818,GoiÃ¢nia/GO,PROPRIETARIO,,aline502@yahoo.com.br,45
aline504@yahoo.com.br,5561917199972,Rio de Janeiro/RJ,CHANNELMANAGEROMNIBEES,,aline504@yahoo.com.br,45
aline506@hotmail.com,5571942955688,MaceiÃ³/AL,CHANNELMANAGEROMNIBEES,,aline506@hotmail.com,47
aline506@uol.com.br,5561949563100,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,aline506@uol.com.br,46
aline509@yahoo.com.br,5511977406958,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline509@yahoo.com.br,46
aline513@gmail.com,5571975200882,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline513@gmail.com,46
aline515@uol.com.br,5571999768726,Rio de Janeiro/RJ,INTERNET,,aline515@uol.com.br,44
aline522@uol.com.br,5551948253440,Manaus/AM,DIRETO,,aline522@uol.com.br,41
aline523@uol.com.br,5511936235155,Fortaleza/CE,CHANNELMANAGEROMNIBEES,,aline523@uol.com.br,46
aline524@gmail.com,5531960608356,GoiÃ¢nia/GO,CHANNELMANAGEROMNIBEES,,aline524@gmail.com,46
aline527@yahoo.com.br,5581970853503,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline527@yahoo.com.br,48
aline535@outlook.com,5521985125415,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline535@outlook.com,46
aline537@uol.com.br,5511954844706,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline537@uol.com.br,45
aline540@gmail.com,5531961997172,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline540@gmail.com,46
aline540@yahoo.com.br,5541949198993,Manaus/AM,CHANNELMANAGEROMNIBEES,,aline540@yahoo.com.br,46
aline541@gmail.com,5541915375141,BrasÃ­lia/DF,CHANNELMANAGEROMNIBEES,,aline541@gmail.com,46
aline543@uol.com.br,5581943336690,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline543@uol.com.br,46
aline548@outlook.com,5531994192613,Salvador/BA,CHANNELMANAGEROMNIBEES,,aline548@outlook.com,46
aline549@outlook.com,5562965824137,Natal/RN,CHANNELMANAGEROMNIBEES,,aline549@outlook.com,45
aline555@hotmail.com,5511928840563,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline555@hotmail.com,46
aline555@outlook.com,5521990823882,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline555@outlook.com,47
aline555@yahoo.com.br,5562931766276,Rio de Janeiro/RJ,CHANNELMANAGEROMNIBEES,,aline555@yahoo.com.br,46
aline556@hotmail.com,5585976838920,MaceiÃ³/AL,CHANNELMANAGEROMNIBEES,,aline556@hotmail.com,46
aline556@uol.com.br,5541969002894,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline556@uol.com.br,45
aline560@hotmail.com,5541951384488,SÃ£o LuÃ­s/MA,CHANNELMANAGEROMNIBEES,,aline560@hotmail.com,46
aline562@uol.com.br,5562944766095,BelÃ©m/PA,CHANNELMANAGEROMNIBEES,,aline562@uol.com.br,47
aline563@outlook.com,5541955528325,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline563@outlook.com,46
aline564@hotmail.com,5585980541677,MaceiÃ³/AL,CHANNELMANAGEROMNIBEES,,aline564@hotmail.com,47
aline568@uol.com.br,5541956326477,BrasÃ­lia/DF,PROPRIETARIO,,aline568@uol.com.br,46
aline56@yahoo.com.br,5511954911708,Rio de Janeiro/RJ,CHANNELMANAGEROMNIBEES,,aline56@yahoo.com.br,46
aline575@gmail.com,5511988419471,Salvador/BA,CHANNELMANAGEROMNIBEES,,aline575@gmail.com,46
aline576@yahoo.com.br,5571941799854,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline576@yahoo.com.br,45
aline577@hotmail.com,5561968330182,Fortaleza/CE,CHANNELMANAGEROMNIBEES,,aline577@hotmail.com,45
aline579@hotmail.com,5581910694171,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline579@hotmail.com,46
aline57@outlook.com,5581932367383,Manaus/AM,PROPRIETARIO,,aline57@outlook.com,46
aline587@gmail.com,5511994910536,Recife/PE,CHANNELMANAGEROMNIBEES,,aline587@gmail.com,46
aline588@yahoo.com.br,5561967817648,Manaus/AM,DIRETO,,aline588@yahoo.com.br,44
aline58@gmail.com,5541947495775,MaceiÃ³/AL,PARTICULAR,,aline58@gmail.com,47
aline593@yahoo.com.br,5585942632763,Recife/PE,CHANNELMANAGEROMNIBEES,,aline593@yahoo.com.br,45
aline596@uol.com.br,5531930269899,Recife/PE,CHANNELMANAGEROMNIBEES,,aline596@uol.com.br,46
aline59@outlook.com,5541967957077,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline59@outlook.com,47
aline5@hotmail.com,5571996335866,Fortaleza/CE,DIRETO,,aline5@hotmail.com,45
aline600@gmail.com,5571934950497,GoiÃ¢nia/GO,DIRETO,,aline600@gmail.com,45
aline600@outlook.com,5541949543706,Campinas/SP,DIRETO,,aline600@outlook.com,44
aline601@gmail.com,5571982970608,Fortaleza/CE,INTERNET,,aline601@gmail.com,45
aline603@hotmail.com,5562981778311,Natal/RN,INTERNET,,aline603@hotmail.com,46
aline604@uol.com.br,5511976214419,Salvador/BA,B2B,,aline604@uol.com.br,45
aline605@gmail.com,5581978675773,SÃ£o LuÃ­s/MA,DIRETO,,aline605@gmail.com,44
aline605@uol.com.br,5551921838299,MaceiÃ³/AL,DIRETO,,aline605@uol.com.br,47
aline607@gmail.com,5541933507774,Rio de Janeiro/RJ,CHANNELMANAGEROMNIBEES,,aline607@gmail.com,45
aline607@outlook.com,5541950796131,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline607@outlook.com,47
aline615@gmail.com,5541960803368,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline615@gmail.com,47
aline61@outlook.com,5521926326192,Recife/PE,CHANNELMANAGEROMNIBEES,,aline61@outlook.com,46
aline61@yahoo.com.br,5571951874003,MaceiÃ³/AL,PARTICULAR,,aline61@yahoo.com.br,43
aline623@hotmail.com,5562949523295,Natal/RN,CHANNELMANAGEROMNIBEES,,aline623@hotmail.com,46
aline624@gmail.com,5581987384887,MaceiÃ³/AL,CHANNELMANAGEROMNIBEES,,aline624@gmail.com,46
aline628@outlook.com,5511942163143,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,aline628@outlook.com,47
aline62@yahoo.com.br,5561933616374,Rio de Janeiro/RJ,CHANNELMANAGEROMNIBEES,,aline62@yahoo.com.br,46
aline630@yahoo.com.br,5531941464276,BelÃ©m/PA,CHANNELMANAGEROMNIBEES,,aline630@yahoo.com.br,47
aline632@outlook.com,5581931987416,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,aline632@outlook.com,47
aline635@gmail.com,5585939192377,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline635@gmail.com,47
aline637@uol.com.br,5562911992460,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline637@uol.com.br,45
aline638@outlook.com,5541961689031,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline638@outlook.com,46
aline642@gmail.com,5531976431663,Natal/RN,CHANNELMANAGEROMNIBEES,,aline642@gmail.com,47
